word, core, background
paripoona           , 0.00010377, 6.0804e-30
venkatachalam       , 0.00041508, 6.0804e-30
ekambareswarar      , 0.00010377, 6.0804e-30
bajanai             , 0.0012452, 6.0804e-30
mrs                 , 0.00010377, 6.0804e-30
aishwarya           , 0.00020754, 1.8281e-16
antlered            , 5.1885e-05, 3.0402e-05
periamet            , 0.00031131, 6.0804e-30
dominoes            , 0.00010377, 6.0804e-30
panimalar           , 0.00010377, 6.0804e-30
car                 , 0.00017775, 0.00050389
tmm                 , 0.00010377, 6.0804e-30
medavalkam          , 0.00020754, 6.0804e-30
police              , 0.0010916, 0.001975
koutoons            , 0.00010377, 6.0804e-30
vidyanathan         , 0.00010377, 6.0804e-30
ethiraj             , 0.00093393, 7.2384e-13
92nd                , 0.00010377, 6.0804e-30
maduvankarai        , 0.00041508, 6.0804e-30
thelliyaragaram     , 0.00010377, 6.0804e-30
ranga               , 0.00051885, 1.3569e-18
doraiswamy          , 0.00020754, 6.0804e-30
whites              , 0.00010377, 6.0804e-30
meenava             , 0.00010377, 6.0804e-30
dublin              , 0.00010377, 6.0804e-30
expressmart         , 5.1885e-05, 3.0402e-05
ponmar              , 0.00010377, 6.0804e-30
karpaka             , 4.3297e-05, 3.5434e-05
kuppam              , 0.00016716, 0.00093572
zakir               , 0.00020754, 6.0804e-30
72nd                , 0.00010377, 6.0804e-30
prachar             , 0.00010377, 6.0804e-05
24th                , 0.00041508, 6.0804e-30
ic                  , 0.00010377, 6.0804e-30
aswamedha           , 1.0377e-29, 6.0804e-05
koothadum           , 1.4918e-08, 0.0001216
thajai              , 0.00010377, 6.0804e-30
velmurugan          , 0.00010377, 6.0804e-30
cn                  , 5.1885e-05, 3.0402e-05
konica              , 0.00010377, 6.0804e-30
maran               , 5.1885e-05, 3.0402e-05
sahib               , 2.3648e-23, 0.0013377
resources           , 0.00010377, 3.4784e-16
jeevanadham         , 0.00010377, 6.0804e-30
cross               , 0.0026335, 0.013962
150                 , 0.00010377, 6.0804e-30
vit                 , 0.000496, 0.00031741
rajivgandhi         , 0.00010377, 6.0804e-30
abhin               , 0.00010377, 6.0804e-30
kalaingar           , 0.00031131, 6.0804e-30
korattur            , 0.00031707, 0.00011823
naick               , 5.1885e-05, 3.0402e-05
mansion             , 1.2687e-22, 0.00024322
chinnasamy          , 0.00010378, 6.0799e-05
escape              , 0.00010377, 6.0804e-30
azad                , 0.00026027, 0.00015151
shyamala            , 0.00010377, 6.0804e-30
asian               , 5.0634e-05, 3.1135e-05
supriya             , 4.2877e-05, 3.568e-05
maduvai             , 0.00010377, 6.0804e-30
clinic              , 0.00011751, 0.001208
b5                  , 0.00010377, 6.0804e-30
hanumantha          , 0.00010377, 6.0804e-30
rhapsody            , 0.00010377, 6.0804e-30
venkatarayan        , 0.00020754, 6.0804e-30
bheemana            , 0.00041508, 6.0804e-30
logiya              , 4.9797e-05, 3.1625e-05
ullagaram           , 0.00010377, 6.0804e-30
collabration        , 0.00010377, 6.0804e-30
br                  , 5.1885e-05, 3.0402e-05
pazhamudhir         , 0.00020754, 6.0804e-30
annamalaipuram      , 4.5942e-05, 3.3884e-05
jamalia             , 0.00010377, 6.0804e-30
khan                , 1.3486e-22, 0.0011553
bajan               , 0.00010377, 6.0804e-30
hema                , 4.6395e-05, 3.3619e-05
kupdaswamy          , 0.00010377, 6.0804e-30
oxidation           , 0.00010377, 6.0804e-30
abbas               , 0.00053973, 0.00010937
packard             , 5.1885e-05, 3.0402e-05
yaga                , 1.0377e-29, 6.0804e-05
lemon               , 0.00010377, 6.0804e-30
postal              , 0.0010377, 6.0804e-30
crystal             , 5.1885e-05, 3.0402e-05
mepz                , 8.2982e-20, 0.00018241
infromation         , 5.1885e-05, 3.0402e-05
koduvali            , 0.00010377, 6.0804e-30
novelty             , 0.00010377, 6.0804e-30
jay                 , 0.00010377, 1.241e-14
kuzhandai           , 0.00010377, 6.0804e-30
narasimman          , 0.00010377, 6.0804e-30
krinshnaswamy       , 0.00010377, 6.0804e-30
mainroad            , 0.00010377, 6.0804e-30
primary             , 2.324e-07, 0.0006079
hotchips            , 0.00010377, 6.0804e-30
kutti               , 0.00010377, 6.0804e-30
doctors             , 0.00010377, 6.0804e-30
pasumarthy          , 0.00010377, 6.0804e-30
kattupakkam         , 0.00010377, 6.0804e-30
biotechnology       , 0.00020754, 6.0804e-30
kalki               , 0.0002042, 0.00012357
wimco               , 0.00010377, 6.0804e-30
janardhanan         , 5.0362e-05, 3.1294e-05
maaligai            , 5.0262e-16, 0.00012161
mamunivar           , 0.00010377, 6.0804e-30
kosappur            , 0.00010377, 6.0804e-30
sunadaram           , 0.00010377, 6.0804e-30
deputy              , 1.0377e-29, 0.00012161
padmini             , 0.00010377, 6.0804e-30
amana               , 0.00010377, 6.0804e-30
globalenglish       , 0.00010377, 6.0804e-30
laskshmi            , 7.8318e-10, 6.0804e-05
elderly             , 4.9806e-05, 3.162e-05
hippopotamus        , 0.00010377, 6.0804e-30
eee                 , 0.00010377, 6.0804e-30
to                  , 2.7505e-17, 0.0010945
connexions          , 0.00010377, 6.0804e-30
kilpauk             , 0.00093393, 6.0804e-30
melle               , 3.459e-05, 4.0536e-05
pulla               , 0.00010377, 6.0804e-30
petro               , 9.9966e-10, 6.0803e-05
balfour             , 0.00010377, 6.0804e-30
buvan               , 5.1885e-05, 3.0402e-05
umarupulavar        , 5.1885e-05, 3.0402e-05
ramkrishna          , 0.00010377, 6.0804e-30
mahi                , 0.00010377, 6.0804e-30
subramania          , 0.00041508, 6.0804e-30
vijayagar           , 0.00010377, 6.0804e-30
revathipuram        , 0.00010377, 6.0804e-30
noise               , 3.1988e-05, 4.2061e-05
ramnuja             , 5.1885e-05, 3.0402e-05
kalpana             , 0.00010377, 6.0804e-30
22nd                , 0.00051885, 6.0804e-30
86th                , 0.00020754, 6.0804e-30
agency              , 3.8994e-08, 0.00012159
kumarappan          , 0.00010376, 3.4428e-09
das                 , 5.1885e-05, 3.0402e-05
camping             , 5.1885e-05, 3.0402e-05
manancheri          , 0.00010377, 6.0804e-30
consulting          , 5.1885e-05, 3.0402e-05
thinu               , 5.1885e-05, 3.0402e-05
van                 , 3.459e-05, 4.0536e-05
bakeville           , 0.00010377, 6.0804e-30
kodhanda            , 0.00010377, 6.0804e-30
technology          , 1.429e-25, 0.0015201
vellalar            , 0.00010377, 6.0804e-30
moorthinagar        , 0.00010377, 6.0804e-30
strahans            , 0.00020754, 6.0804e-30
harris              , 0.00010377, 6.0804e-30
chinmaya            , 0.00041508, 6.0804e-30
baganantham         , 0.00010377, 6.0804e-30
transportation      , 0.00010377, 6.0804e-30
streetseethapathy   , 0.00010368, 4.9977e-08
french              , 0.00010263, 6.1472e-05
79th                , 0.00010377, 6.0804e-30
57th                , 0.00010377, 6.0804e-30
sherfudeen          , 0.00020754, 6.0804e-30
harikrishnan        , 0.00010377, 6.0804e-30
club                , 0.0002046, 0.0012178
bicycle             , 0.00010377, 6.0804e-30
thirumudivakkam     , 0.00010377, 6.0804e-05
mangu               , 0.00010377, 6.0804e-30
kala                , 5.1885e-05, 3.0402e-05
sugarcube           , 3.459e-05, 4.0536e-05
pavithra            , 0.00010377, 6.0804e-30
hockey              , 0.00031131, 6.0804e-30
dhanalakshmi        , 0.00062262, 6.0804e-30
umayal              , 0.00010377, 6.0804e-30
mr                  , 0.00010377, 6.0804e-30
melur               , 0.00020754, 6.0804e-30
narayanaswamy       , 0.00031131, 6.0804e-30
dhanasekaran        , 0.00010377, 6.0804e-30
medplus             , 0.00010377, 6.0804e-30
vigneshwara         , 0.00010377, 6.0804e-30
rangappan           , 0.00010377, 6.0804e-30
balarama            , 0.00010377, 6.0804e-30
saren               , 0.00010377, 6.0804e-30
21st                , 0.00083016, 6.0804e-30
24                  , 9.2512e-05, 0.0001282
sheikh              , 6.3671e-08, 0.00018237
kovalam             , 0.00041508, 6.0804e-30
broadlands          , 0.00010377, 6.0804e-30
center              , 5.648e-26, 0.0010337
philatelic          , 5.1885e-05, 3.0402e-05
jp                  , 0.00020754, 6.0804e-30
vaniya              , 0.00010377, 6.0804e-30
sivanthi            , 0.00020754, 6.0804e-30
doraisamy           , 0.00010377, 6.0804e-30
demonte             , 0.00010377, 6.0804e-30
paradise            , 4.995e-14, 0.00018241
c13                 , 0.00010377, 6.0804e-30
napiers             , 0.00010377, 6.0804e-30
doshi               , 3.3815e-05, 4.099e-05
animation           , 1.0377e-29, 6.0804e-05
constable           , 0.00010377, 6.0804e-30
sekar               , 0.00020754, 6.0804e-30
pentecostal         , 0.00010377, 6.0804e-30
kalam               , 0.00010377, 6.0804e-30
gymkhana            , 0.00010377, 6.0804e-30
no                  , 0.0001555, 3.0491e-05
vegatables          , 0.00010377, 6.0804e-30
higher              , 3.114e-16, 0.0028578
l2                  , 0.00010377, 6.0804e-30
gingerbread         , 0.00010377, 6.0804e-30
thiaga              , 1.0377e-29, 6.0804e-05
poonamalle          , 0.00010377, 6.0804e-30
kannagi             , 0.00032823, 0.0001117
williams            , 0.00010377, 6.0804e-30
kovur               , 0.00010377, 6.0804e-30
durgabai            , 5.1885e-05, 3.0402e-05
garments            , 0.00010377, 1.5975e-12
ostrich             , 0.00010377, 6.0804e-30
matric              , 1.7841e-16, 0.00085126
data                , 2.7359e-16, 0.00012161
karunya             , 0.00010377, 6.0804e-30
arasu               , 5.1885e-05, 3.0402e-05
lodge               , 1.2289e-19, 0.00018241
904                 , 1.2116e-21, 6.0804e-05
operative           , 0.00010377, 6.0804e-30
lexington           , 0.00010377, 6.0804e-30
sao                 , 0.00010377, 6.0804e-30
portuguese          , 0.00010377, 6.0804e-30
edayanchavadi       , 0.00010377, 6.0804e-30
entry               , 0.00020754, 6.0804e-30
blooming            , 1.0027e-10, 0.00018241
ilangovadigal       , 0.00010377, 6.0804e-30
cove                , 1.8893e-09, 0.00012161
main                , 0.0010521, 0.019084
brodies             , 0.00010377, 6.0804e-30
bali                , 0.00020754, 6.0804e-30
administration      , 0.00020754, 6.0804e-30
vedachala           , 0.00010377, 6.0804e-30
d                   , 0.00062024, 1.3961e-06
mfs                 , 5.1885e-05, 3.0402e-05
maloney             , 0.00010377, 6.0804e-30
kulakarai           , 0.00010377, 6.0804e-30
naturally           , 5.1885e-05, 3.0402e-05
kandappan           , 0.00010378, 6.08e-05
brihadambal         , 0.00010377, 6.0804e-30
purasawalkam        , 0.00010377, 6.0804e-30
stret               , 0.00010377, 6.0804e-30
crematorium         , 0.00011019, 0.00011785
bethel              , 0.00010377, 6.0804e-30
rarefied            , 0.00010377, 1.6688e-09
anusuya             , 0.00010377, 6.0804e-30
arsenal             , 0.00010377, 6.0804e-30
basin               , 0.00051277, 0.00012517
math                , 1.0377e-29, 0.00012161
aachartya           , 0.00010374, 1.5435e-08
makkhan             , 0.00010377, 6.0804e-30
cascade             , 0.00010378, 6.0799e-05
kummanur            , 0.00010377, 6.0804e-30
irusappan           , 0.00031109, 1.2721e-07
anandha             , 0.00010377, 6.0804e-30
forest              , 1.0377e-29, 0.00030402
c14                 , 0.00010377, 6.0804e-30
rajeshwari          , 0.00041508, 1.0944e-11
krishnamoorthy      , 0.00010377, 6.0804e-30
prn                 , 6.9703e-05, 8.0766e-05
edward              , 0.00020754, 6.0804e-30
amaravati           , 0.00010377, 6.0804e-30
stay                , 2.0518e-11, 6.0804e-05
dgm                 , 0.00010377, 6.0804e-30
ratna               , 0.00047321, 2.6745e-05
rpt                 , 0.00010377, 6.0804e-30
construction        , 2.6729e-13, 0.00024322
muslim              , 5.1008e-05, 3.0916e-05
barnaby             , 0.00010377, 6.0804e-30
cpwd                , 0.00031131, 6.0804e-30
ig                  , 0.00010377, 6.0804e-30
hmpa                , 0.00041508, 6.0804e-30
begum               , 0.0006875, 0.000266
tiruvotteeswaranpet , 5.1885e-05, 3.0402e-05
mullaioval          , 0.00010377, 6.0804e-30
iway                , 0.00010377, 6.0804e-30
lb                  , 0.00010377, 6.0804e-30
gassifier           , 0.00010377, 6.0804e-30
lite                , 5.1885e-05, 3.0402e-05
arcade              , 1.0377e-29, 0.00012161
mangal              , 0.00010377, 6.0804e-30
